iter	Passed	Remaining
0	5	5145
1	7	3599
2	9	3076
3	11	2869
4	14	2937
5	20	3397
6	22	3145
7	24	3034
8	26	2932
9	29	2911
10	34	3078
11	36	3018
12	38	2949
13	41	2913
14	43	2848
15	46	2877
16	50	2891
17	52	2842
18	54	2839
19	57	2805
20	60	2833
21	64	2863
22	66	2828
23	69	2831
24	71	2807
25	76	2884
26	79	2857
27	81	2825
28	83	2795
29	85	2769
30	87	2744
31	93	2819
32	95	2796
33	97	2775
34	100	2771
35	102	2750
36	108	2831
37	111	2811
38	113	2798
39	115	2778
40	118	2760
41	124	2845
42	128	2855
43	130	2835
44	135	2871
45	138	2863
46	140	2846
47	142	2833
48	145	2815
49	151	2871
50	154	2866
51	156	2857
52	158	2840
53	161	2825
54	166	2867
55	172	2904
56	180	2984
57	182	2970
58	185	2953
59	187	2941
60	194	2998
61	197	2988
62	199	2972
63	202	2955
64	204	2941
65	210	2985
66	213	2971
67	215	2957
68	217	2941
69	221	2945
70	224	2934
71	226	2920
72	229	2909
73	231	2896
74	234	2896
75	238	2899
76	240	2886
77	243	2875
78	245	2861
79	247	2849
80	251	2851
81	253	2841
82	256	2831
83	259	2827
84	265	2861
85	268	2849
86	270	2838
87	272	2827
88	278	2845
89	281	2841
90	283	2831
91	285	2820
92	288	2810
93	293	2831
94	296	2822
95	298	2812
96	301	2808
97	305	2813
98	309	2818
99	311	2807
100	314	2797
101	316	2789
102	322	2806
103	324	2799
104	327	2789
105	329	2779
106	331	2769
107	335	2771
108	338	2767
109	342	2768
110	345	2763
111	347	2756
112	351	2759
113	354	2754
114	356	2745
115	358	2735
116	363	2740
117	365	2735
118	368	2725
119	370	2714
120	372	2704
121	375	2699
122	379	2703
123	381	2697
124	384	2688
125	386	2679
126	388	2669
127	393	2681
128	396	2674
129	398	2664
130	400	2656
131	402	2646
132	407	2653
133	409	2647
134	411	2638
135	413	2629
136	415	2620
137	418	2612
138	423	2623
139	425	2616
140	428	2607
141	430	2598
142	432	2592
143	437	2603
144	440	2596
145	442	2587
146	444	2579
147	446	2571
148	451	2581
149	455	2579
150	457	2571
151	459	2563
152	461	2555
153	464	2554
154	469	2558
155	471	2550
156	473	2542
157	475	2534
158	477	2528
159	482	2530
160	484	2522
161	486	2515
162	488	2507
163	490	2500
164	494	2503
165	496	2496
166	499	2489
167	501	2482
168	503	2477
169	509	2489
170	512	2484
171	514	2479
172	517	2474
173	523	2484
174	526	2480
175	529	2477
176	531	2472
177	537	2482
178	539	2476
179	542	2469
180	544	2463
181	546	2457
182	552	2466
183	555	2461
184	557	2456
185	559	2450
186	563	2450
187	567	2449
188	569	2444
189	572	2441
190	575	2436
191	580	2444
192	583	2438
193	585	2433
194	588	2429
195	594	2438
196	596	2432
197	599	2428
198	603	2427
199	607	2429
200	610	2426
201	612	2420
202	615	2415
203	617	2410
204	623	2418
205	626	2414
206	628	2409
207	631	2404
208	635	2405
209	639	2405
210	642	2402
211	645	2398
212	648	2395
213	653	2399
214	656	2397
215	659	2393
216	663	2395
217	668	2397
218	671	2393
219	673	2389
220	676	2384
221	681	2389
222	684	2384
223	687	2380
224	689	2375
225	694	2379
226	697	2376
227	700	2372
228	703	2368
229	705	2362
230	712	2372
231	715	2367
232	718	2364
233	720	2360
234	726	2364
235	729	2361
236	732	2356
237	734	2351
238	740	2357
239	742	2352
240	745	2347
241	748	2344
242	750	2338
243	753	2335
244	756	2330
245	758	2326
246	761	2322
247	766	2323
248	769	2321
249	772	2317
250	775	2315
251	779	2314
252	784	2316
253	787	2311
254	789	2306
255	792	2303
256	797	2306
257	800	2302
258	803	2298
259	806	2295
260	812	2299
261	814	2294
262	817	2291
263	820	2287
264	826	2291
265	829	2287
266	831	2283
267	834	2278
268	836	2274
269	840	2273
270	843	2269
271	846	2264
272	849	2261
273	854	2264
274	857	2260
275	859	2255
276	862	2251
277	865	2247
278	869	2247
279	872	2243
280	874	2238
281	878	2236
282	883	2238
283	886	2233
284	889	2230
285	892	2228
286	897	2230
287	900	2225
288	902	2221
289	905	2217
290	910	2218
291	914	2217
292	917	2214
293	920	2209
294	922	2204
295	928	2208
296	931	2204
297	934	2200
298	936	2196
299	942	2199
300	945	2195
301	948	2192
302	951	2189
303	957	2192
304	960	2189
