iter	Passed	Remaining
0	3	306
1	5	272
2	8	259
3	10	248
4	15	287
5	17	278
6	20	268
7	23	264
8	26	264
9	32	290
10	35	287
11	38	283
12	41	280
13	48	296
14	50	287
15	53	279
16	55	271
17	58	264
18	62	268
19	65	261
20	67	255
21	70	249
22	72	243
23	79	252
24	83	249
25	86	244
26	88	238
27	93	239
28	96	236
29	99	231
30	101	226
31	104	221
32	107	217
33	111	215
34	114	212
35	117	208
36	119	204
37	123	201
38	127	199
39	131	196
40	133	192
41	136	188
42	140	186
43	142	181
44	145	178
45	148	174
46	150	169
47	153	166
48	157	163
49	160	160
50	162	156
51	165	152
52	167	148
53	173	148
54	176	144
55	178	140
56	181	136
57	183	133
58	188	130
59	191	127
60	194	124
61	196	120
62	198	116
63	203	114
64	206	111
65	209	108
66	212	104
67	214	101
68	220	99
69	223	95
70	225	92
71	228	88
72	231	85
73	236	83
74	239	79
75	242	76
76	244	73
77	247	69
78	251	66
79	253	63
80	256	60
81	258	56
82	260	53
83	266	50
84	268	47
85	270	44
86	273	40
87	275	37
88	278	34
89	282	31
90	284	28
91	287	24
92	289	21
93	292	18
94	296	15
95	299	12
96	302	9
97	304	6
98	306	3
99	310	0
